max_depth,train_accuracy,test_accuracy,accuracy_gap,number_of_leaves
1,0.7842323651452282,0.6557377049180327,0.12849466022719547,2
2,0.7842323651452282,0.6557377049180327,0.12849466022719547,4
3,0.8589211618257261,0.8032786885245902,0.05564247330113592,8
4,0.8713692946058091,0.7213114754098361,0.15005781919597305,14
5,0.941908713692946,0.7704918032786885,0.17141691041425755,22
6,0.9626556016597511,0.7704918032786885,0.19216379838106257,27
7,0.979253112033195,0.7704918032786885,0.2087613087545065,31
8,0.995850622406639,0.7868852459016393,0.2089653765049997,34
9,1.0,0.8032786885245902,0.19672131147540983,35
10,1.0,0.8032786885245902,0.19672131147540983,35
11,1.0,0.8032786885245902,0.19672131147540983,35
12,1.0,0.8032786885245902,0.19672131147540983,35
13,1.0,0.8032786885245902,0.19672131147540983,35
14,1.0,0.8032786885245902,0.19672131147540983,35
15,1.0,0.8032786885245902,0.19672131147540983,35
